New name,Description
age,Client's age in days at the time of application
annual_income,Income of the client
car_age,Age of client's car
contract_type,Identification if loan is cash or revolving
credit_amount,Credit amount of the loan
credit_annuity,Loan annuity
days_employed,How many days before the application the person started current employment
education,Level of highest education the client achieved
family_status,Family status of the client
first_name,Client's first name
gender,Gender of the client
goods_valuation,For consumer loans it is the price of the goods for which the loan is given
has_own_car,Flag if the client owns a car
has_own_realty,Flag if client owns a house or flat
housing_type,"What is the housing situation of the client (renting, living with parents, ...)"
income_type,"Clients income type (businessman, working, maternity leave,â€¦)"
infringed,"Target variable (1 - client with payment difficulties: he/she had late payment more than X days on at least one of the first Y installments of the loan in our sample, 0 - all other cases)"
last_name,Client's last name
loan_id,ID of loan in our sample
mobilephone_reachable,"Was mobile phone reachable (1=YES, 0=NO)"
num_children,Number of children the client has
num_family_members,How many family members does client have
num_req_bureau_day,Number of enquiries to Credit Bureau about the client one day before application (excluding one hour before application)
num_req_bureau_hour,Number of enquiries to Credit Bureau about the client one hour before application
num_req_bureau_month,Number of enquiries to Credit Bureau about the client one month before application (excluding one week before application)
num_req_bureau_qrt,Number of enquiries to Credit Bureau about the client 3 month before application (excluding one month before application)
num_req_bureau_week,Number of enquiries to Credit Bureau about the client one week before application (excluding one day before application)
num_req_bureau_year,Number of enquiries to Credit Bureau about the client one day year (excluding last 3 months before application)
occupation_type,What kind of occupation does the client have
organization_type,Type of organization where client works
past_avg_amount_annuity,Average amount of annuity in past loans for the client
past_avg_amt_application,Average amount of credit applied in past loans by the client
past_avg_amt_credit,Average amount of credit conceded in past loans for the client
past_loans_approved,Number of loans approved in the past for the client
past_loans_canceled,Number of loans canceled in the past for the client
past_loans_refused,Number of loans refused in the past for the client
past_loans_total,"Number of loans in the past for the client, regardless of the outcome"
past_loans_unused,Number of loans approved but not used in the past for the client
provided_email,"Did client provide email (1=YES, 0=NO)"
provided_homephone,"Did client provide home phone (1=YES, 0=NO)"
provided_mobilephone,"Did client provide mobile phone (1=YES, 0=NO)"
provided_workphone,"Did client provide work phone (1=YES, 0=NO)"
region_rating,"Our rating of the region where client lives (1,2,3)"
score_ext_1,Normalized score from external data source
score_ext_2,Normalized score from external data source
score_ext_3,Normalized score from external data source